a	ഒന്ന്
whenever	എപ്പോൾ വേണമെങ്കിലും
where	എവിടെ
whereas	അതേസമയം
whether	എന്ന്
which	ഏത്
while	അതേസമയം
whisper	മന്ത്രിച്ചു
white	വെള്ള
who	ആര്
whole	മുഴുവൻ
whom	ആര്
whose	ആരുടെ
why	എന്തിന്
wide	വീതിയുള്ള
widely	പരക്കെ
widespread	വ്യാപകമായ
wife	ഭാര്യ
wild	കാട്ടു
will	ചെയ്യും
willing	തയ്യാറാണ്
win	വിജയിക്കുക
wind	കാറ്റ്
window	ജാലകം
wine	വൈൻ
wing	ചിറക്
winner	വിജയി
winter	ശീതകാലം
wipe	തുടയ്ക്കുക
wire	വയർ
wisdom	ജ്ഞാനം
wise	ബുദ്ധിമാനായ
wish	ആഗ്രഹം
with	കൂടെ
withdraw	പിൻവലിക്കുക
within	ഉള്ളിൽ
without	കൂടാതെ
witness	സാക്ഷി
woman	സ്ത്രീ
women	സ്ത്രീകള്
won’t	ചെയ്യില്ല
wonder	അത്ഭുതവും
wonderful	അത്ഭുതകരമായ
wood	മരം
wooden	തടി
word	വാക്ക്
work	ജോലി
worker	തൊഴിലാളി
working	ജോലി ചെയ്യുന്നു
works	പ്രവർത്തിക്കുന്നു
workshop	ശില്പശാല
world	ലോകം
worried	വിഷമിക്കുന്നു
worry	വിഷമിക്കുക
worth	മൂല്യം
would	ചെയ്യുമായിരുന്നു
wound	മുറിവ്
wrap	പൊതിയുക
write	എഴുതുക
writer	എഴുത്തുകാരൻ
writing	എഴുത്തു
written	എഴുതിയത്
wrong	തെറ്റാണ്
wrote	എഴുതി
yard	മുറ്റം
yeah	അതെ
year	വർഷം
yell	ആക്രോശിക്കുക
yellow	മഞ്ഞ
yes	അതെ
yesterday	ഇന്നലെ
yet	ഇതുവരെ
yield	വരുമാനം
you	നിങ്ങൾ
young	ചെറുപ്പക്കാരൻ
your	നിങ്ങളുടെ
yours	താങ്കളുടെ
yourself	സ്വയം
youth	യുവാക്കൾ
zombie	സോംബി
zone	മേഖല
zoo	മൃഗശാല
zoology	ജന്തുശാസ്ത്രം
zoom	സൂം
